game_id,date,home_team,home_score,away_team,away_score,home_win,cutoff_utc
22500001,2025-10-21,Oklahoma City Thunder,125,Houston Rockets,124,1,2025-10-21
22500002,2025-10-21,Los Angeles Lakers,109,Golden State Warriors,119,0,2025-10-21
22500003,2025-10-22,New York Knicks,119,Cleveland Cavaliers,111,1,2025-10-22
22500004,2025-10-22,Dallas Mavericks,92,San Antonio Spurs,125,0,2025-10-22
22500080,2025-10-22,Charlotte Hornets,136,Brooklyn Nets,117,1,2025-10-22
22500081,2025-10-22,Orlando Magic,125,Miami Heat,121,1,2025-10-22
22500082,2025-10-22,Atlanta Hawks,118,Toronto Raptors,138,0,2025-10-22
22500083,2025-10-22,Boston Celtics,116,Philadelphia 76ers,117,0,2025-10-22
22500084,2025-10-22,Chicago Bulls,115,Detroit Pistons,111,1,2025-10-22
22500085,2025-10-22,Memphis Grizzlies,128,New Orleans Pelicans,122,1,2025-10-22
22500086,2025-10-22,Milwaukee Bucks,133,Washington Wizards,120,1,2025-10-22
22500087,2025-10-22,Utah Jazz,129,LA Clippers,108,1,2025-10-22
22500088,2025-10-22,Phoenix Suns,120,Sacramento Kings,116,1,2025-10-22
22500089,2025-10-22,Portland Trail Blazers,114,Minnesota Timberwolves,118,0,2025-10-22
22500005,2025-10-23,Indiana Pacers,135,Oklahoma City Thunder,141,0,2025-10-23
22500006,2025-10-23,Golden State Warriors,137,Denver Nuggets,131,1,2025-10-23
22500018,2025-10-24,New York Knicks,105,Boston Celtics,95,1,2025-10-24
22500019,2025-10-24,Los Angeles Lakers,128,Minnesota Timberwolves,110,1,2025-10-24
22500090,2025-10-24,Orlando Magic,107,Atlanta Hawks,111,0,2025-10-24
22500091,2025-10-24,Brooklyn Nets,124,Cleveland Cavaliers,131,0,2025-10-24
22500092,2025-10-24,Toronto Raptors,116,Milwaukee Bucks,122,0,2025-10-24
22500093,2025-10-24,Houston Rockets,111,Detroit Pistons,115,0,2025-10-24
22500094,2025-10-24,Memphis Grizzlies,114,Miami Heat,146,0,2025-10-24
22500095,2025-10-24,New Orleans Pelicans,116,San Antonio Spurs,120,0,2025-10-24
22500096,2025-10-24,Dallas Mavericks,107,Washington Wizards,117,0,2025-10-24
22500097,2025-10-24,Portland Trail Blazers,139,Golden State Warriors,119,1,2025-10-24
22500098,2025-10-24,Sacramento Kings,105,Utah Jazz,104,1,2025-10-24
22500099,2025-10-24,LA Clippers,129,Phoenix Suns,102,1,2025-10-24
22500100,2025-10-25,Orlando Magic,98,Chicago Bulls,110,0,2025-10-25
22500101,2025-10-25,Atlanta Hawks,100,Oklahoma City Thunder,117,0,2025-10-25
22500102,2025-10-25,Philadelphia 76ers,125,Charlotte Hornets,121,1,2025-10-25
22500103,2025-10-25,Memphis Grizzlies,128,Indiana Pacers,103,1,2025-10-25
22500104,2025-10-25,Denver Nuggets,133,Phoenix Suns,111,1,2025-10-25
22500105,2025-10-26,San Antonio Spurs,118,Brooklyn Nets,107,1,2025-10-26
22500106,2025-10-26,Detroit Pistons,119,Boston Celtics,113,1,2025-10-26
22500107,2025-10-26,Cleveland Cavaliers,118,Milwaukee Bucks,113,1,2025-10-26
22500108,2025-10-26,Miami Heat,115,New York Knicks,107,1,2025-10-26
22500109,2025-10-26,Washington Wizards,113,Charlotte Hornets,139,0,2025-10-26
22500110,2025-10-26,Minnesota Timberwolves,114,Indiana Pacers,110,1,2025-10-26
22500111,2025-10-26,Dallas Mavericks,139,Toronto Raptors,129,1,2025-10-26
22500112,2025-10-26,LA Clippers,114,Portland Trail Blazers,107,1,2025-10-26
22500113,2025-10-26,Sacramento Kings,120,Los Angeles Lakers,127,0,2025-10-26
22500007,2025-10-27,Detroit Pistons,95,Cleveland Cavaliers,116,0,2025-10-27
22500008,2025-10-27,Minnesota Timberwolves,114,Denver Nuggets,127,0,2025-10-27
22500114,2025-10-27,Philadelphia 76ers,136,Orlando Magic,124,1,2025-10-27
22500115,2025-10-27,Chicago Bulls,128,Atlanta Hawks,123,1,2025-10-27
22500116,2025-10-27,Houston Rockets,137,Brooklyn Nets,109,1,2025-10-27
22500117,2025-10-27,New Orleans Pelicans,90,Boston Celtics,122,0,2025-10-27
22500118,2025-10-27,San Antonio Spurs,121,Toronto Raptors,103,1,2025-10-27
22500119,2025-10-27,Dallas Mavericks,94,Oklahoma City Thunder,101,0,2025-10-27
22500120,2025-10-27,Utah Jazz,138,Phoenix Suns,134,1,2025-10-27
22500121,2025-10-27,Golden State Warriors,131,Memphis Grizzlies,118,1,2025-10-27
22500122,2025-10-27,Los Angeles Lakers,108,Portland Trail Blazers,122,0,2025-10-27
22500123,2025-10-28,Washington Wizards,134,Philadelphia 76ers,139,0,2025-10-28
22500124,2025-10-28,Miami Heat,144,Charlotte Hornets,117,1,2025-10-28
22500125,2025-10-28,Milwaukee Bucks,121,New York Knicks,111,1,2025-10-28
22500126,2025-10-28,Oklahoma City Thunder,107,Sacramento Kings,101,1,2025-10-28
22500127,2025-10-28,Golden State Warriors,98,LA Clippers,79,1,2025-10-28
22500128,2025-10-29,Boston Celtics,125,Cleveland Cavaliers,105,1,2025-10-29
22500129,2025-10-29,Detroit Pistons,135,Orlando Magic,116,1,2025-10-29
22500130,2025-10-29,Brooklyn Nets,112,Atlanta Hawks,117,0,2025-10-29
22500131,2025-10-29,Toronto Raptors,121,Houston Rockets,139,0,2025-10-29
22500132,2025-10-29,Chicago Bulls,126,Sacramento Kings,113,1,2025-10-29
22500133,2025-10-29,Dallas Mavericks,107,Indiana Pacers,105,1,2025-10-29
22500134,2025-10-29,Denver Nuggets,122,New Orleans Pelicans,88,1,2025-10-29
22500135,2025-10-29,Utah Jazz,134,Portland Trail Blazers,136,0,2025-10-29
22500136,2025-10-29,Minnesota Timberwolves,115,Los Angeles Lakers,116,0,2025-10-29
22500137,2025-10-29,Phoenix Suns,113,Memphis Grizzlies,114,0,2025-10-29
22500138,2025-10-30,Charlotte Hornets,107,Orlando Magic,123,0,2025-10-30
22500139,2025-10-30,Milwaukee Bucks,120,Golden State Warriors,110,1,2025-10-30
22500140,2025-10-30,Oklahoma City Thunder,127,Washington Wizards,108,1,2025-10-30
22500141,2025-10-30,San Antonio Spurs,107,Miami Heat,101,1,2025-10-30
22500020,2025-10-31,Indiana Pacers,108,Atlanta Hawks,128,0,2025-10-31
22500021,2025-10-31,Philadelphia 76ers,108,Boston Celtics,109,0,2025-10-31
