game_id,date,home_team,away_team,model,side,edge,kalshi_price,model_prob,home_win,outcome,pnl
22500238,2025-11-16,Dallas Mavericks,Portland Trail Blazers,M1,sell,-0.0564,0.4,0.3436,1,0,-30.0
22500239,2025-11-16,Phoenix Suns,Atlanta Hawks,M1,buy,0.0917,0.53,0.6217,0,0,-26.5
22500244,2025-11-17,Miami Heat,New York Knicks,M1,sell,-0.0922,0.52,0.4278,1,0,-24.0
22500249,2025-11-18,Orlando Magic,Golden State Warriors,M1,buy,0.1756,0.44,0.6156,1,1,26.04
22500251,2025-11-18,Atlanta Hawks,Detroit Pistons,M1,buy,0.2111,0.45,0.6611,0,0,-22.5
22500254,2025-11-18,Portland Trail Blazers,Phoenix Suns,M1,sell,-0.1672,0.54,0.3728,0,1,25.11
22500263,2025-11-19,Portland Trail Blazers,Chicago Bulls,M1,buy,0.0704,0.41,0.4804,0,0,-20.5
22500256,2025-11-19,Indiana Pacers,Charlotte Hornets,M1,sell,-0.3139,0.46,0.1461,1,0,-27.0
22500255,2025-11-19,Cleveland Cavaliers,Houston Rockets,M1,buy,0.0647,0.46,0.5247,0,0,-23.0
22500258,2025-11-19,Philadelphia 76ers,Toronto Raptors,M1,buy,0.1668,0.44,0.6068,0,0,-22.0
22500265,2025-11-20,Memphis Grizzlies,Sacramento Kings,M1,sell,-0.0685,0.58,0.5115,1,0,-21.0
22500267,2025-11-20,San Antonio Spurs,Atlanta Hawks,M1,buy,0.1482,0.5,0.6482,1,1,23.25
22500054,2025-11-21,Houston Rockets,Denver Nuggets,M1,buy,0.1064,0.58,0.6864,0,0,-29.0
22500051,2025-11-21,Chicago Bulls,Miami Heat,M1,sell,-0.0665,0.56,0.4935,0,1,26.04
22500273,2025-11-22,Dallas Mavericks,Memphis Grizzlies,M1,sell,-0.1137,0.51,0.3963,0,1,23.715
22500269,2025-11-22,Orlando Magic,New York Knicks,M1,buy,0.1083,0.55,0.6583,1,1,20.925
22500275,2025-11-23,Philadelphia 76ers,Miami Heat,M1,buy,0.136,0.5,0.636,0,0,-25.0
22500281,2025-11-23,Phoenix Suns,San Antonio Spurs,M1,buy,0.1383,0.55,0.6883,1,1,20.925
22500288,2025-11-24,Milwaukee Bucks,Portland Trail Blazers,M1,buy,0.0674,0.52,0.5874,0,0,-26.0
22500284,2025-11-24,Toronto Raptors,Cleveland Cavaliers,M1,buy,0.1034,0.55,0.6534,1,1,20.925
22500066,2025-11-26,Golden State Warriors,Houston Rockets,M1,sell,-0.2012,0.6,0.3988,0,1,27.9
22500067,2025-11-26,Portland Trail Blazers,San Antonio Spurs,M1,sell,-0.1932,0.5,0.3068,0,1,23.25
22500065,2025-11-26,New Orleans Pelicans,Memphis Grizzlies,M1,sell,-0.2578,0.41,0.1522,0,1,19.065
22500060,2025-11-26,Boston Celtics,Detroit Pistons,M1,buy,0.1626,0.46,0.6226,1,1,25.11
22500077,2025-11-28,Utah Jazz,Sacramento Kings,M1,sell,-0.201,0.57,0.369,1,0,-21.5
22500072,2025-11-28,Detroit Pistons,Orlando Magic,M1,buy,0.0978,0.6,0.6978,0,0,-30.0
22500071,2025-11-28,Charlotte Hornets,Chicago Bulls,M1,sell,-0.1138,0.42,0.3062,1,0,-29.0
22500295,2025-11-29,Indiana Pacers,Chicago Bulls,M1,sell,-0.1143,0.43,0.3157,1,0,-28.5
22500307,2025-11-30,Sacramento Kings,Memphis Grizzlies,M1,sell,-0.313,0.42,0.107,0,1,19.53
